gene,score,rank
PAICS,3.7121540838619947e-06,135
ACTN1,3.7121540838619947e-06,135
ETFA,3.62028233329307e-06,137
P4HB,3.62028233329307e-06,137
ANXA6,3.340938675475795e-06,139
PYGM,3.340938675475795e-06,139
CALR,3.340938675475795e-06,139
HSPH1,3.340938675475795e-06,139
COPB1,2.9697232670895953e-06,143
PRKACB,2.505704006606846e-06,144
TUBB,2.505704006606846e-06,144
IPO7,2.505704006606846e-06,144
ALDOA,2.505704006606846e-06,144
YWHAG,2.505704006606846e-06,144
RDX,2.505704006606846e-06,144
