Key_Proteins,Non_Key_Proteins
YDR468C,YMR306W
YGL055W,YOR016C
YGR191W,YPL227C
YIR022W,YPR198W
YKL165C,YBR290W
YPR124W,YDR039C
YIL004C,YDR506C
YKL196C,YER087C-B
YMR276W,YFL041W
YOL123W,YFL048C
YOR353C,YHL048W
YER136W,YML067C
YNL036W,YNL101W
YAL025C,YNL169C
YDL014W,YOL132W
YKL172W,YHR133C
YLL008W,YIR038C
YOR206W,YLR343W
YPL146C,YML038C
YNL287W,YPL234C
YPR176C,YPL265W
YDL030W,YER140W
YDR164C,YGR174C
YNL260C,YJL095W
YDL084W,YLR447C
YDR201W,YOR267C
YKL101W,YPL141C
YOR056C,YAL029C
YPR180W,YBR267W
YDR324C,YDL191W
YER168C,YIL018W
YIL068C,YOR136W
YDR189W,YDR126W
YGR009C,YDR297W
YLR026C,YGL226C-A
YKL192C,YLL028W
YOR373W,YML075C
YJL109C,YMR264W
YGL106W,YOL003C
YDR231C,YOR085W
YDR292C,YPR011C
YMR200W,YAR027W
YIR012W,YCR010C
YAL032C,YCR024C-A
YDL209C,YCR061W
YDR364C,YGR014W
YGL128C,YGR057C
YLL036C,YHR142W
YML049C,YIL140W
YMR213W,YJR010C-A
YMR288W,YMR292W
YGR005C,YNL125C
YNL124W,YOR161C
YPL266W,YOR345C
YPR101W,YAL034C
YNR053C,YAL059W
YBL074C,YBR207W
YBR190W,YDR316W
YER013W,YER117W
YBL102W,YGR067C
YDR311W,YHR199C
YGL180W,YMR036C
YKR083C,YDL210W
YPR105C,YDR107C
YLR275W,YEL017C-A
YNR011C,YER166W
YDR240C,YGL058W
YDR487C,YGR138C
YFL017C,YHR123W
YGR024C,YJL108C
YIR011C,YPR194C
YMR239C,YDR046C
YAL033W,YDR343C
YBR167C,YGR105W
YBL018C,YJL129C
YBR257W,YKR088C
YGR030C,YLL005C
YHR062C,YPR028W
YNL221C,YAR028W
YNL282W,YBR061C
YPL128C,YBR302C
YFR037C,YGR260W
YER018C,YIL088C
YGL093W,YKL221W
YGR179C,YLR034C
YIR010W,YOR092W
YKL089W,YPR156C
YOR257W,YCR098C
YPL125W,YAL022C
YER157W,YBR283C
YCL059C,YCR044C
YGR159C,YDL012C
YHR072W-A,YER118C
YLR197W,YGL053W
YOL010W,YGR121C
YOL102C,YIL023C
YOR310C,YMR279C
YPL228W,YDR410C
YNL112W,YOL065C
YOR048C,YOR099W
YIL104C,YAL053W
YHR065C,YBL016W
YBL004W,YDL230W
YDL058W,YER120W
YDR303C,YLR124W
YER093C,YMR054W
YDR308C,YBR278W
YHR058C,YDL025C
YLR071C,YHR066W
YPR168W,YLR427W
